Date,Product,Quantity,Price,Customer_ID,Region,Total_Sales
Not provided,Phone,7,37300,CUST001,East,261100
Not provided,Headphones,4,15406,CUST002,North,61624
Not provided,Phone,2,21746,CUST003,West,43492
Not provided,Headphones,1,30895,CUST004,East,30895
Not provided,Laptop,8,39835,CUST005,North,318680
Not provided,Laptop,7,40420,CUST006,South,282940
Not provided,Laptop,9,40430,CUST007,South,363870
Not provided,Laptop,7,7262,CUST008,West,50834
Not provided,Tablet,3,32791,CUST009,North,98373
Not provided,Laptop,4,45023,CUST010,West,180092
Not provided,Monitor,8,6160,CUST011,West,49280
Not provided,Phone,2,13233,CUST012,West,26466
Not provided,Phone,8,20655,CUST013,East,165240
Not provided,Headphones,4,4195,CUST014,East,16780
Not provided,Headphones,2,34447,CUST015,West,68894
Not provided,Phone,9,41548,CUST016,South,373932
Not provided,Phone,5,13488,CUST017,South,67440
Not provided,Tablet,4,19322,CUST018,North,77288
Not provided,Tablet,1,44045,CUST019,West,44045
Not provided,Laptop,8,41749,CUST020,North,333992
Not provided,Laptop,3,36518,CUST021,East,109554
Not provided,Tablet,2,6713,CUST022,West,13426
Not provided,Laptop,9,29275,CUST023,North,263475
Not provided,Headphones,1,17838,CUST024,West,17838
Not provided,Monitor,2,9191,CUST025,West,18382
Not provided,Laptop,3,25948,CUST026,North,77844
Not provided,Tablet,1,38298,CUST027,North,38298
Not provided,Tablet,7,43495,CUST028,North,304465
Not provided,Headphones,1,45467,CUST029,North,45467
Not provided,Tablet,9,11902,CUST030,North,107118
Not provided,Tablet,6,34900,CUST031,East,209400
Not provided,Phone,4,16997,CUST032,South,67988
Not provided,Tablet,3,20696,CUST033,South,62088
Not provided,Tablet,2,48602,CUST034,East,97204
Not provided,Tablet,6,4339,CUST035,South,26034
Not provided,Tablet,4,45515,CUST036,East,182060
Not provided,Phone,5,40177,CUST037,North,200885
Not provided,Monitor,8,19256,CUST038,East,154048
Not provided,Monitor,1,39924,CUST039,South,39924
Not provided,Phone,4,11494,CUST040,South,45976
Not provided,Monitor,1,20083,CUST041,West,20083
Not provided,Phone,1,18616,CUST042,West,18616
Not provided,Tablet,6,43350,CUST043,West,260100
Not provided,Monitor,4,43428,CUST044,West,173712
Not provided,Phone,2,40244,CUST045,East,80488
Not provided,Tablet,2,11032,CUST046,West,22064
Not provided,Phone,6,29499,CUST047,North,176994
Not provided,Monitor,1,6720,CUST048,West,6720
Not provided,Laptop,1,32297,CUST049,South,32297
Not provided,Laptop,4,43848,CUST050,West,175392
Not provided,Phone,9,15160,CUST051,West,136440
Not provided,Headphones,1,32524,CUST052,West,32524
Not provided,Monitor,6,24160,CUST053,North,144960
Not provided,Tablet,5,1308,CUST054,North,6540
Not provided,Tablet,7,4341,CUST055,South,30387
Not provided,Phone,3,37135,CUST056,North,111405
Not provided,Monitor,6,37055,CUST057,East,222330
Not provided,Monitor,2,5272,CUST058,East,10544
Not provided,Laptop,5,15475,CUST059,South,77375
Not provided,Headphones,3,13624,CUST060,South,40872
Not provided,Tablet,5,29840,CUST061,North,149200
Not provided,Laptop,8,19661,CUST062,South,157288
Not provided,Monitor,9,24224,CUST063,East,218016
Not provided,Laptop,5,17924,CUST064,West,89620
Not provided,Phone,7,44652,CUST065,South,312564
Not provided,Laptop,8,14381,CUST066,North,115048
Not provided,Headphones,2,44487,CUST067,East,88974
Not provided,Laptop,3,34303,CUST068,North,102909
Not provided,Tablet,3,23229,CUST069,North,69687
Not provided,Laptop,9,35418,CUST070,South,318762
Not provided,Phone,4,34843,CUST071,West,139372
Not provided,Headphones,8,18964,CUST072,East,151712
Not provided,Headphones,7,49930,CUST073,West,349510
Not provided,Tablet,4,17512,CUST074,South,70048
Not provided,Monitor,6,23381,CUST075,North,140286
Not provided,Phone,5,16596,CUST076,South,82980
Not provided,Laptop,7,2603,CUST077,South,18221
Not provided,Tablet,9,26110,CUST078,East,234990
Not provided,Tablet,9,19425,CUST079,North,174825
Not provided,Phone,4,49101,CUST080,South,196404
Not provided,Laptop,4,28098,CUST081,East,112392
Not provided,Headphones,2,48769,CUST082,South,97538
Not provided,Laptop,8,43861,CUST083,North,350888
Not provided,Phone,8,40518,CUST084,South,324144
Not provided,Laptop,3,7455,CUST085,South,22365
Not provided,Monitor,7,11591,CUST086,North,81137
Not provided,Tablet,4,3839,CUST087,West,15356
Not provided,Phone,6,4578,CUST088,West,27468
Not provided,Laptop,6,38037,CUST089,North,228222
Not provided,Monitor,4,9483,CUST090,East,37932
Not provided,Laptop,1,7148,CUST091,North,7148
Not provided,Tablet,5,30531,CUST092,South,152655
Not provided,Headphones,6,42813,CUST093,South,256878
Not provided,Laptop,6,16667,CUST094,South,100002
Not provided,Tablet,7,19507,CUST095,West,136549
Not provided,Tablet,8,20770,CUST096,North,166160
Not provided,Headphones,1,7647,CUST097,West,7647
Not provided,Tablet,5,27196,CUST098,East,135980
Not provided,Monitor,1,30717,CUST099,North,30717
Not provided,Headphones,5,23376,CUST100,South,116880
