CustomerID,Tenure,MonthlyCharges,TotalCharges,Contract,PaymentMethod,PaperlessBilling,SeniorCitizen,Churn,PaperlessBilling_Flag,TenureBucket,AvgMonthlySpendToDate
C00001,6,64,1540,One Year,Credit Card,No,1,0,0,0-12,256.6666666666667
C00002,21,113,1753,Month-To-Month,Electronic Check,Yes,1,0,1,13-24,83.47619047619048
C00003,27,31,1455,Two Year,Credit Card,No,1,0,0,25-36,53.888888888888886
C00004,53,29,7150,Month-To-Month,Electronic Check,No,1,0,0,49-60,134.9056603773585
C00005,16,185,1023,One Year,Electronic Check,No,1,0,0,13-24,63.9375
C00006,55,44,7538,Two Year,Electronic Check,No,0,0,0,49-60,137.05454545454546
C00007,66,99,4178,Two Year,Bank Transfer,No,1,0,0,61-72,63.303030303030305
C00008,61,128,3088,Month-To-Month,Bank Transfer,No,1,0,0,61-72,50.622950819672134
C00009,64,124,7973,Month-To-Month,Credit Card,No,1,0,0,61-72,124.578125
C00010,14,120,5844,One Year,Bank Transfer,Yes,1,0,1,13-24,417.42857142857144
C00011,59,57,5168,One Year,Credit Card,Yes,0,0,1,49-60,87.59322033898304
C00012,7,110,7282,Month-To-Month,Electronic Check,No,1,1,0,0-12,1040.2857142857142
C00013,53,86,3438,Month-To-Month,Bank Transfer,Yes,1,0,1,49-60,64.86792452830188
C00014,8,158,6194,Month-To-Month,Credit Card,No,1,1,0,0-12,774.25
C00015,53,58,768,Month-To-Month,Credit Card,Yes,1,0,1,49-60,14.49056603773585
C00016,65,77,4071,Month-To-Month,Credit Card,Yes,1,0,1,61-72,62.63076923076923
C00017,19,187,4874,Two Year,Credit Card,No,0,0,0,13-24,256.5263157894737
C00018,42,101,3736,One Year,Bank Transfer,Yes,0,0,1,37-48,88.95238095238095
C00019,7,156,5389,One Year,Bank Transfer,Yes,0,1,1,0-12,769.8571428571429
C00020,26,105,6868,Month-To-Month,Bank Transfer,Yes,1,0,1,25-36,264.15384615384613
C00021,38,137,1000,Month-To-Month,Electronic Check,No,1,0,0,37-48,26.31578947368421
C00022,25,120,4855,Two Year,Credit Card,Yes,0,0,1,25-36,194.2
C00023,60,40,1755,One Year,Credit Card,No,1,0,0,49-60,29.25
C00024,30,100,3710,Two Year,Credit Card,No,1,0,0,25-36,123.66666666666667
C00025,25,193,7565,Month-To-Month,Bank Transfer,No,0,0,0,25-36,302.6
C00026,47,181,3295,One Year,Credit Card,No,1,0,0,37-48,70.1063829787234
C00027,60,101,3741,Month-To-Month,Bank Transfer,No,1,0,0,49-60,62.35
C00028,20,56,3950,One Year,Bank Transfer,No,1,0,0,13-24,197.5
C00029,36,175,3682,One Year,Bank Transfer,No,0,0,0,25-36,102.27777777777777
C00030,34,190,7540,One Year,Bank Transfer,No,1,0,0,25-36,221.76470588235293
C00031,28,101,4643,One Year,Electronic Check,Yes,1,0,1,25-36,165.82142857142858
C00032,10,196,4825,Month-To-Month,Credit Card,Yes,0,1,1,0-12,482.5
C00033,43,182,7129,One Year,Electronic Check,Yes,0,0,1,37-48,165.7906976744186
C00034,32,195,7139,One Year,Bank Transfer,Yes,1,0,1,25-36,223.09375
C00035,60,44,1302,One Year,Credit Card,No,1,0,0,49-60,21.7
C00036,50,116,690,Month-To-Month,Credit Card,No,1,0,0,49-60,13.8
C00037,37,42,947,Month-To-Month,Electronic Check,No,0,0,0,37-48,25.594594594594593
C00038,62,166,6225,Two Year,Electronic Check,Yes,1,0,1,61-72,100.40322580645162
C00039,50,84,858,Month-To-Month,Credit Card,No,0,0,0,49-60,17.16
C00040,26,151,1952,Two Year,Electronic Check,No,0,0,0,25-36,75.07692307692308
C00041,42,20,1950,Two Year,Credit Card,Yes,1,0,1,37-48,46.42857142857143
C00042,7,148,2701,Two Year,Credit Card,Yes,0,0,1,0-12,385.85714285714283
C00043,63,89,6547,One Year,Electronic Check,Yes,0,0,1,61-72,103.92063492063492
C00044,42,123,3913,Month-To-Month,Credit Card,No,1,0,0,37-48,93.16666666666667
C00045,34,93,3344,Two Year,Credit Card,Yes,0,0,1,25-36,98.3529411764706
C00046,32,170,4773,Two Year,Credit Card,No,1,0,0,25-36,149.15625
C00047,22,46,7555,Month-To-Month,Bank Transfer,No,1,0,0,13-24,343.40909090909093
C00048,37,162,3735,Month-To-Month,Electronic Check,Yes,1,0,1,37-48,100.94594594594595
C00049,56,49,3376,Month-To-Month,Bank Transfer,No,0,0,0,49-60,60.285714285714285
C00050,49,121,5161,One Year,Bank Transfer,Yes,0,0,1,49-60,105.3265306122449
C00051,71,172,416,Month-To-Month,Electronic Check,No,1,0,0,61-72,5.859154929577465
C00052,31,154,7537,Two Year,Credit Card,Yes,1,0,1,25-36,243.1290322580645
C00053,53,48,1497,One Year,Credit Card,No,0,0,0,49-60,28.245283018867923
C00054,49,68,2615,Month-To-Month,Bank Transfer,Yes,1,0,1,49-60,53.36734693877551
C00055,9,157,7022,Month-To-Month,Bank Transfer,No,0,1,0,0-12,780.2222222222222
C00056,47,54,6827,Two Year,Bank Transfer,Yes,0,0,1,37-48,145.25531914893617
C00057,58,121,3537,One Year,Credit Card,No,1,0,0,49-60,60.98275862068966
C00058,59,72,7053,Month-To-Month,Bank Transfer,Yes,0,0,1,49-60,119.54237288135593
C00059,36,38,3792,One Year,Bank Transfer,Yes,1,0,1,25-36,105.33333333333333
C00060,26,182,7074,Month-To-Month,Credit Card,No,0,0,0,25-36,272.0769230769231
C00061,23,187,5608,Month-To-Month,Electronic Check,No,1,0,0,13-24,243.82608695652175
C00062,10,195,4284,Two Year,Electronic Check,No,0,1,0,0-12,428.4
C00063,53,128,5803,One Year,Bank Transfer,No,0,0,0,49-60,109.49056603773585
C00064,25,176,4496,One Year,Bank Transfer,No,1,0,0,25-36,179.84
C00065,65,180,4142,One Year,Credit Card,Yes,0,0,1,61-72,63.723076923076924
C00066,3,140,2541,One Year,Electronic Check,No,1,0,0,0-12,847.0
C00067,53,61,3631,One Year,Bank Transfer,No,0,0,0,49-60,68.50943396226415
C00068,62,62,3016,Two Year,Credit Card,Yes,0,0,1,61-72,48.645161290322584
C00069,2,102,1333,Two Year,Credit Card,Yes,0,1,1,0-12,666.5
C00070,53,21,6828,One Year,Credit Card,No,0,0,0,49-60,128.83018867924528
C00071,69,153,1418,Month-To-Month,Electronic Check,No,0,0,0,61-72,20.55072463768116
C00072,68,153,1930,One Year,Electronic Check,Yes,0,0,1,61-72,28.38235294117647
C00073,13,125,3696,Two Year,Credit Card,No,1,0,0,13-24,284.3076923076923
C00074,2,152,2038,Month-To-Month,Bank Transfer,No,0,1,0,0-12,1019.0
C00075,70,77,7593,Two Year,Electronic Check,Yes,0,0,1,61-72,108.47142857142858
C00076,35,170,936,One Year,Bank Transfer,Yes,0,0,1,25-36,26.742857142857144
C00077,4,43,7302,Month-To-Month,Credit Card,Yes,0,1,1,0-12,1825.5
C00078,41,109,7937,Two Year,Bank Transfer,Yes,1,0,1,37-48,193.58536585365854
C00079,8,95,3792,One Year,Bank Transfer,Yes,1,0,1,0-12,474.0
C00080,47,138,6406,Two Year,Credit Card,Yes,0,0,1,37-48,136.29787234042553
C00081,35,139,5211,Two Year,Bank Transfer,No,0,0,0,25-36,148.88571428571427
C00082,30,162,3917,One Year,Credit Card,No,0,0,0,25-36,130.56666666666666
C00083,27,142,1908,Two Year,Bank Transfer,No,1,0,0,25-36,70.66666666666667
C00084,50,141,4412,Month-To-Month,Credit Card,No,0,0,0,49-60,88.24
C00085,51,136,4725,Two Year,Bank Transfer,Yes,1,0,1,49-60,92.6470588235294
C00086,63,29,7685,Two Year,Credit Card,Yes,1,0,1,61-72,121.98412698412699
C00087,43,103,2856,One Year,Electronic Check,No,1,0,0,37-48,66.4186046511628
C00088,40,108,2650,One Year,Electronic Check,No,1,0,0,37-48,66.25
C00089,41,177,4075,One Year,Bank Transfer,Yes,0,0,1,37-48,99.39024390243902
C00090,21,126,7735,One Year,Credit Card,Yes,0,0,1,13-24,368.3333333333333
C00091,3,188,2422,Two Year,Credit Card,No,1,0,0,0-12,807.3333333333334
